"filename","functions","first_line","first_byte","last_line","last_byte","first_column","last_column","first_parsed","last_parsed","value"
"R/aFIPC.R","autoFIPC",69,24,69,36,24,36,69,69,0
"R/aFIPC.R","autoFIPC",84,7,84,79,7,79,86,86,0
"R/aFIPC.R","autoFIPC",87,34,87,92,34,92,87,87,0
"R/aFIPC.R","autoFIPC",90,70,90,112,70,112,90,90,0
"R/aFIPC.R","autoFIPC",98,109,98,189,109,189,98,98,0
"R/aFIPC.R","autoFIPC",99,76,99,145,76,145,99,99,0
"R/aFIPC.R","autoFIPC",101,76,101,145,76,145,101,101,0
"R/aFIPC.R","autoFIPC",102,106,102,185,106,185,102,102,0
"R/aFIPC.R","autoFIPC",103,106,103,185,106,185,103,103,0
"R/aFIPC.R","autoFIPC",104,91,104,165,91,165,104,104,0
"R/aFIPC.R","autoFIPC",108,7,108,40,7,40,110,110,0
"R/aFIPC.R","autoFIPC",115,7,115,46,7,46,117,117,0
"R/aFIPC.R","autoFIPC",142,11,142,33,11,33,142,142,0
"R/aFIPC.R","autoFIPC",143,9,143,66,9,66,145,145,0
"R/aFIPC.R","autoFIPC",144,13,144,32,13,32,144,144,0
"R/aFIPC.R","autoFIPC",145,11,145,31,11,31,147,147,0
"R/aFIPC.R","autoFIPC",148,7,148,64,7,64,150,150,0
"R/aFIPC.R","autoFIPC",165,7,165,35,7,35,167,167,0
"R/aFIPC.R","autoFIPC",166,11,166,61,11,61,166,166,0
"R/aFIPC.R","autoFIPC",167,9,179,9,9,9,169,181,0
"R/aFIPC.R","autoFIPC",168,15,168,28,15,28,168,168,0
"R/aFIPC.R","autoFIPC",168,31,168,90,31,90,168,168,0
"R/aFIPC.R","autoFIPC",169,15,169,37,15,37,169,169,0
"R/aFIPC.R","autoFIPC",170,13,173,15,13,15,172,175,0
"R/aFIPC.R","autoFIPC",174,17,174,36,17,36,174,174,0
"R/aFIPC.R","autoFIPC",175,15,175,35,15,35,177,177,0
"R/aFIPC.R","autoFIPC",178,11,178,63,11,63,180,180,0
"R/aFIPC.R","autoFIPC",180,9,180,53,9,53,182,182,0
"R/aFIPC.R","autoFIPC",181,13,181,34,13,34,181,181,0
"R/aFIPC.R","autoFIPC",182,11,182,35,11,35,184,184,0
"R/aFIPC.R","autoFIPC",184,11,184,36,11,36,186,186,0
"R/aFIPC.R","autoFIPC",188,7,188,52,7,52,190,190,0
"R/aFIPC.R","autoFIPC",189,11,189,53,11,53,189,189,0
"R/aFIPC.R","autoFIPC",190,9,190,52,9,52,192,192,0
"R/aFIPC.R","autoFIPC",191,9,204,11,9,11,193,206,0
"R/aFIPC.R","autoFIPC",205,9,214,9,9,9,207,216,0
"R/aFIPC.R","autoFIPC",217,9,219,9,9,9,219,221,0
"R/aFIPC.R","autoFIPC",220,9,232,9,9,9,222,234,0
"R/aFIPC.R","autoFIPC",235,11,235,51,11,51,235,235,0
"R/aFIPC.R","autoFIPC",236,9,236,84,9,84,238,238,0
"R/aFIPC.R","autoFIPC",239,11,239,34,11,34,239,239,0
"R/aFIPC.R","autoFIPC",241,11,242,32,11,32,241,242,0
"R/aFIPC.R","autoFIPC",244,11,246,11,11,11,246,248,0
"R/aFIPC.R","autoFIPC",248,11,248,31,11,31,250,250,0
"R/aFIPC.R","autoFIPC",249,11,261,11,11,11,251,263,0
"R/aFIPC.R","autoFIPC",265,11,266,32,11,32,265,266,0
"R/aFIPC.R","autoFIPC",268,11,270,11,11,11,270,272,0
"R/aFIPC.R","autoFIPC",272,11,272,46,11,46,274,274,0
"R/aFIPC.R","autoFIPC",273,15,273,37,15,37,273,273,0
"R/aFIPC.R","autoFIPC",274,13,286,13,13,13,276,288,0
"R/aFIPC.R","autoFIPC",287,17,287,56,17,56,287,287,0
"R/aFIPC.R","autoFIPC",287,59,287,63,59,63,287,287,0
"R/aFIPC.R","autoFIPC",289,15,289,55,15,55,289,289,0
"R/aFIPC.R","autoFIPC",289,58,289,123,58,123,289,289,0
"R/aFIPC.R","autoFIPC",294,9,295,30,9,30,294,295,0
"R/aFIPC.R","autoFIPC",297,9,299,9,9,9,299,301,0
"R/aFIPC.R","autoFIPC",300,9,300,29,9,29,302,302,0
"R/aFIPC.R","autoFIPC",302,9,308,11,9,11,304,310,0
"R/aFIPC.R","autoFIPC",312,9,313,30,9,30,312,313,0
"R/aFIPC.R","autoFIPC",315,9,317,9,9,9,317,319,0
"R/aFIPC.R","autoFIPC",318,9,318,29,9,29,320,320,0
"R/aFIPC.R","autoFIPC",320,9,327,11,9,11,322,329,0
"R/aFIPC.R","autoFIPC",331,9,332,30,9,30,331,332,0
"R/aFIPC.R","autoFIPC",334,9,336,9,9,9,336,338,0
"R/aFIPC.R","autoFIPC",337,9,337,29,9,29,339,339,0
"R/aFIPC.R","autoFIPC",339,9,346,11,9,11,341,348,0
"R/aFIPC.R","autoFIPC",350,9,351,30,9,30,350,351,0
"R/aFIPC.R","autoFIPC",353,9,355,9,9,9,355,357,0
"R/aFIPC.R","autoFIPC",356,9,356,29,9,29,358,358,0
"R/aFIPC.R","autoFIPC",358,9,365,11,9,11,360,367,0
"R/aFIPC.R","autoFIPC",369,9,370,30,9,30,369,370,0
"R/aFIPC.R","autoFIPC",372,9,372,61,9,61,374,374,0
"R/aFIPC.R","autoFIPC",384,7,384,35,7,35,386,386,0
"R/aFIPC.R","autoFIPC",385,11,385,61,11,61,385,385,0
"R/aFIPC.R","autoFIPC",386,9,398,9,9,9,388,400,0
"R/aFIPC.R","autoFIPC",387,15,387,28,15,28,387,387,0
"R/aFIPC.R","autoFIPC",387,31,387,90,31,90,387,387,0
"R/aFIPC.R","autoFIPC",388,15,388,37,15,37,388,388,0
"R/aFIPC.R","autoFIPC",389,13,392,15,13,15,391,394,0
"R/aFIPC.R","autoFIPC",393,17,393,36,17,36,393,393,0
"R/aFIPC.R","autoFIPC",394,15,394,35,15,35,396,396,0
"R/aFIPC.R","autoFIPC",397,11,397,63,11,63,399,399,0
"R/aFIPC.R","autoFIPC",399,9,399,53,9,53,401,401,0
"R/aFIPC.R","autoFIPC",400,13,400,34,13,34,400,400,0
